Show Title,Actors,Rating
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"['Mayo Suzukaze', ' Junko Iwao']",8.6
Pew News,"['Mary Katherine Ham', ' Felix Kjellberg']",8.6
Blackadder the Third,"['Rowan Atkinson', ' Tony Robinson']",8.6
Sa-rang-eui bul-sa-chak,"['Hyun Bin', ' Ye-jin Son']",8.6
Dexter,"['Michael C. Hall', ' Jennifer Carpenter']",8.6
Young Justice,"['Jesse McCartney', ' Danica McKellar']",8.6
Through the Wormhole,"['Morgan Freeman', ' Sean Carroll']",8.6
The Bugs Bunny Show,"['Mel Blanc', ' June Foray']",8.6
Daredevil,"['Charlie Cox', "" Vincent D'Onofrio""]",8.6
Mindhunter,"['Jonathan Groff', ' Holt McCallany']",8.6
Peep Show,"['David Mitchell', ' Robert Webb']",8.6
QI,"['Alan Davies', ' Stephen Fry']",8.6
The Eric Andre Show,"['Eric André', ' Hannibal Buress']",8.6
Mister Rogers' Neighborhood,"['Fred Rogers', ' Betty Aberlin']",8.6
Long Way Round,"['Ewan McGregor', ' Charley Boorman']",8.6
Father Ted,"['Dermot Morgan', "" Ardal O'Hanlon""]",8.6
Formula 1: Drive to Survive,"['Valtteri Bottas', ' Pierre Gasly']",8.6
Mind Your Language,"['Barry Evans', ' George Camiller']",8.6
North & South,"['Daniela Denby-Ashe', ' Richard Armitage']",8.6
Making a Murderer,"['Dolores Avery', ' Steven Avery']",8.5
Haikyuu!!,"['Ayumu Murase', ' Kaito Ishikawa']",8.5
Anne,"['Amybeth McNulty', ' Geraldine James']",8.5
Yes Minister,"['Paul Eddington', ' Nigel Hawthorne']",8.5
The Newsroom,"['Jeff Daniels', ' Emily Mortimer']",8.5
Monster,"['Hidenobu Kiuchi', "" Liam O'Brien""]",8.5
Behzat Ç.: Bir Ankara Polisiyesi,"['Erdal Besikçioglu', ' Inanç Konukçu']",8.5
Spaced,"['Jessica Hynes', ' Simon Pegg']",8.5
Panchayat,"['Jitendra Kumar', ' Raghuvir Yadav']",8.5
Umbre,"['Serban Pavlu', ' Maria Obretin']",8.5
Le Bureau des Légendes,"['Mathieu Kassovitz', ' Florence Loiret Caille']",8.5
Brass Eye,"['Christopher Morris', ' Mark Heap']",8.5
Ikinci Bahar,"['Türkan Soray', ' Sener Sen']",8.5
Skam,"['Josefine Frida Pettersen', ' Iman Meskini']",8.5
Poirot,"['David Suchet', ' Hugh Fraser']",8.5
Dragon Ball: Doragon bôru,"['Masako Nozawa', ' Jôji Yanami']",8.5
Justified,"['Timothy Olyphant', ' Nick Searcy']",8.5
El Chavo del Ocho,"['Ramón Valdés', ' Carlos Villagrán']",8.5
Justice League,"['Carl Lumbly', ' Phil LaMarr']",8.5
The Great British Bake Off,"['Paul Hollywood', ' Mary Berry']",8.5
Hagane no renkinjutsushi,"['Vic Mignogna', ' Aaron Dismuke']",8.5
From the Earth to the Moon,"['Tom Hanks', ' Nick Searcy']",8.5
Shin Seiki Evangelion,"['Megumi Ogata', ' Megumi Hayashibara']",8.5
Boardwalk Empire,"['Steve Buscemi', ' Kelly Macdonald']",8.5
Dragon Ball,"['Brice Armstrong', ' Steve Olson']",8.5
Adventure Time with Finn & Jake,"['John DiMaggio', ' Jeremy Shada']",8.5
Shameless,"['Emmy Rossum', ' William H. Macy']",8.5
Normal People,"['Daisy Edgar-Jones', ' Paul Mescal']",8.5
The Bugs Bunny/Road Runner Hour,"['Mel Blanc', ' Jim Backus']",8.5
Samurai chanpurû,"['Kazuya Nakai', ' Ginpei Sato']",8.5
Sacred Games,"['Saif Ali Khan', ' Nawazuddin Siddiqui']",8.5
Doctor Who,"['Jodie Whittaker', ' Peter Capaldi']",8.5
"Yes, Prime Minister","['Paul Eddington', ' Nigel Hawthorne']",8.5
Flight of the Conchords,"['Jemaine Clement', ' Bret McKenzie']",8.5
Twin Peaks,"['Kyle MacLachlan', ' Sheryl Lee']",8.5
"Love, Death & Robots","['Scott Whyte', ' Nolan North']",8.5
Satyamev Jayate,"['Aamir Khan', ' Devendra Singh Gaur']",8.5
Mystery Science Theater 3000,"['Joel Hodgson', ' Michael J. Nelson']",8.5
The Untold History of the United States,"['Oliver Stone', ' Alan Shearman']",8.5
Mr. Bean,"['Rowan Atkinson', ' Robin Driscoll']",8.5
Chef's Table,"['Dan Barber', ' Massimo Bottura']",8.5
Pose,"['Mj Rodriguez', ' Dominique Jackson']",8.5
The Defiant Ones,"['Bono', ' Dr. Dre']",8.5
Coupling,"['Jack Davenport', ' Gina Bellman']",8.5
The IT Crowd,"[""Chris O'Dowd"", ' Richard Ayoade']",8.5
Letterkenny,"['Jared Keeso', ' Michelle Mylett']",8.5
Generation Kill,"['Alexander Skarsgård', ' James Ransone']",8.5
Impractical Jokers,"['Brian Quinn', ' James Murray']",8.5
Louie,"['Louis C.K.', ' Hadley Delany']",8.5
Mr. Robot,"['Rami Malek', ' Christian Slater']",8.5
GTO,"['Steve Blum', ' Tom Fahn']",8.5
Alfred Hitchcock Presents,"['Alfred Hitchcock', ' Harry Tyler']",8.5
Endeavour,"['Shaun Evans', ' Roger Allam']",8.5
The Night Of,"['Riz Ahmed', ' John Turturro']",8.5
Big Little Lies,"['Reese Witherspoon', ' Nicole Kidman']",8.5
Detectorists,"['Mackenzie Crook', ' Toby Jones']",8.5
Silicon Valley,"['Thomas Middleditch', ' T.J. Miller']",8.5
Succession,"['Hiam Abbass', ' Nicholas Braun']",8.5
Homicide: Life on the Street,"['Richard Belzer', ' Clark Johnson']",8.5
Whose Line Is It Anyway?,"['Drew Carey', ' Colin Mochrie']",8.5
Spartacus: Gods of the Arena,"['John Hannah', ' Manu Bennett']",8.5
Horace and Pete,"['Louis C.K.', ' Steve Buscemi']",8.5
Hannibal,"['Hugh Dancy', ' Mads Mikkelsen']",8.5
Naruto: Shippûden,"['Junko Takeuchi', ' Maile Flanagan']",8.5
I'm Alan Partridge,"['Steve Coogan', ' Simon Greenall']",8.5
The Office,"['Ricky Gervais', ' Martin Freeman']",8.5
John Adams,"['Paul Giamatti', ' Laura Linney']",8.5
Sons of Anarchy,"['Charlie Hunnam', ' Katey Sagal']",8.5
Black Books,"['Dylan Moran', ' Bill Bailey']",8.5
Shigatsu wa kimi no uso,"['Natsuki Hanae', ' Risa Taneda']",8.5
Boku dake ga inai machi,"['Ben Diskin', ' Shinnosuke Mitsushima']",8.5
The New Batman Adventures,"['Kevin Conroy', ' Tara Strong']",8.5
The Punisher,"['Jon Bernthal', ' Amber Rose Revah']",8.5
Mob Psycho 100,"['Setsuo Ito', ' Takahiro Sakurai']",8.5
Spartacus: Blood and Sand,"['Andy Whitfield', ' Lucy Lawless']",8.5
Queer Eye,"['Bobby Berk', ' Karamo Brown']",8.5
