Movie Title,Actors,Director,Rating
Ran,"[' Tatsuya Nakadai', ' Akira Terao']",['Akira Kurosawa (dir.)'],8.2
Hauru no ugoku shiro,"[' Chieko Baishô', ' Takuya Kimura']",['Hayao Miyazaki (dir.)'],8.2
The Great Escape,"[' Steve McQueen', ' James Garner']",['John Sturges (dir.)'],8.2
A Beautiful Mind,"[' Russell Crowe', ' Ed Harris']",['Ron Howard (dir.)'],8.2
All About Eve,"[' Bette Davis', ' Anne Baxter']",['Joseph L. Mankiewicz (dir.)'],8.2
Casino,"[' Robert De Niro', ' Sharon Stone']",['Martin Scorsese (dir.)'],8.2
Pan's Labyrinth,"[' Ivana Baquero', ' Ariadna Gil']",['Guillermo del Toro (dir.)'],8.2
The Wolf of Wall Street,"[' Leonardo DiCaprio', ' Jonah Hill']",['Martin Scorsese (dir.)'],8.2
El secreto de sus ojos,"[' Ricardo Darín', ' Soledad Villamil']",['Juan José Campanella (dir.)'],8.2
"Lock, Stock and Two Smoking Barrels","[' Jason Flemyng', ' Dexter Fletcher']",['Guy Ritchie (dir.)'],8.1
Tonari no Totoro,"[' Hitoshi Takagi', ' Noriko Hidaka']",['Hayao Miyazaki (dir.)'],8.1
Raging Bull,"[' Robert De Niro', ' Cathy Moriarty']",['Martin Scorsese (dir.)'],8.1
There Will Be Blood,"[' Daniel Day-Lewis', ' Paul Dano']",['Paul Thomas Anderson (dir.)'],8.1
The Treasure of the Sierra Madre,"[' Humphrey Bogart', ' Walter Huston']",['John Huston (dir.)'],8.1
Judgment at Nuremberg,"[' Spencer Tracy', ' Burt Lancaster']",['Stanley Kramer (dir.)'],8.1
Babam ve Oglum,"[' Çetin Tekindor', ' Fikret Kuskan']",['Çagan Irmak (dir.)'],8.1
"Three Billboards Outside Ebbing, Missouri","[' Frances McDormand', ' Woody Harrelson']",['Martin McDonagh (dir.)'],8.1
Dial M for Murder,"[' Ray Milland', ' Grace Kelly']",['Alfred Hitchcock (dir.)'],8.1
The Gold Rush,"[' Charles Chaplin', ' Mack Swain']",['Charles Chaplin (dir.)'],8.1
Chinatown,"[' Jack Nicholson', ' Faye Dunaway']",['Roman Polanski (dir.)'],8.1
V for Vendetta,"[' Hugo Weaving', ' Natalie Portman']",['James McTeigue (dir.)'],8.1
No Country for Old Men,"[' Tommy Lee Jones', ' Javier Bardem']",['Ethan Coen (dir.)'],8.1
Det sjunde inseglet,"[' Max von Sydow', ' Gunnar Björnstrand']",['Ingmar Bergman (dir.)'],8.1
Shutter Island,"[' Leonardo DiCaprio', ' Emily Mortimer']",['Martin Scorsese (dir.)'],8.1
Inside Out,"[' Amy Poehler', ' Bill Hader']",['Pete Docter (dir.)'],8.1
Warrior,"[' Tom Hardy', ' Nick Nolte']","[""Gavin O'Connor (dir.)""]",8.1
The Elephant Man,"[' Anthony Hopkins', ' John Hurt']",['David Lynch (dir.)'],8.1
Trainspotting,"[' Ewan McGregor', ' Ewen Bremner']",['Danny Boyle (dir.)'],8.1
The Sixth Sense,"[' Bruce Willis', ' Haley Joel Osment']",['M. Night Shyamalan (dir.)'],8.1
The Thing,"[' Kurt Russell', ' Wilford Brimley']",['John Carpenter (dir.)'],8.1
Jurassic Park,"[' Sam Neill', ' Laura Dern']",['Steven Spielberg (dir.)'],8.1
Gone with the Wind,"[' Clark Gable', ' Vivien Leigh']",['Victor Fleming (dir.)'],8.1
Smultronstället,"[' Victor Sjöström', ' Bibi Andersson']",['Ingmar Bergman (dir.)'],8.1
Blade Runner,"[' Harrison Ford', ' Rutger Hauer']",['Ridley Scott (dir.)'],8.1
Finding Nemo,"[' Albert Brooks', ' Ellen DeGeneres']",['Andrew Stanton (dir.)'],8.1
Room,"[' Brie Larson', ' Jacob Tremblay']",['Lenny Abrahamson (dir.)'],8.1
The Truman Show,"[' Jim Carrey', ' Ed Harris']",['Peter Weir (dir.)'],8.1
